ID,T1,Year,Haptic Sensations,Correlated User Manipulation,Stimulus,Interfacing method,Ground method,Actuating mechanism,Simple to complex mechanism,web,Meeting name
212,pinskier2018development,2018,Not Specified,Not Specified,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,1.0 Grounded-Off-Body,2.0 Material,2.0 Mechanical Mechanism,https://doi.org/10.1145/2858036.2858104,ACM CHI
213,najmaei2015design,2016,Not Specified,Not Specified,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,1.0 Grounded-Off-Body,2.0 Material,2.0 Mechanical Mechanism,https://doi.org/10.1145/2858036.2858104,ACM CHI
214,rizzo2015displaying,2015,Others,Not Specified,1.1 Partial Proximate Object,Not specified,Not Specified,2.0 Material,None,https://doi.org/10.1145/3025453.3025812,ACM CHI
215,nakagaki2016materiable,2016,1.2.2 Shape,All,1.1 Partial Proximate Object,1.0 Encountered/free gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,1.0 Spatial Distribution,https://doi.org/10.1145/2858036.2858544,ACM CHI
216,nakagaki2016materiable,2016,1.1.1 Compliance,All,1.1 Partial Proximate Object,1.0 Encountered/free gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,1.0 Spatial Distribution,https://doi.org/10.1145/2839462.2839494,ACM TEI
217,strohmeier2017generating,2017,1.1.3 Texture,1.0 Lateral Motion,2.0 Vibration,1.0 Encountered/free gesture,Not Specified,1.0 Off-The-Shelf Components,None,https://ui.adsabs.harvard.edu/abs/2020SMaS...29e5028M/abstract,Smart Materials and Structures
218,sahoo2016tablehop,2016,1.1.3 Texture,1.0 Lateral Motion,1.1 Partial Proximate Object,1.0 Encountered/free gesture,1.0 Grounded-Off-Body,2.0 Material,1.0 Spatial Distribution,https://www.nature.com/articles/s41586-019-1687-0?ref=mainstreem-dotcom/,Nature
219,strohmeier2016reflex,2016,1.5 Force/Motion,Others,1.0 Whole Proximate Object,1.0 Encountered/free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://www.nature.com/articles/s41586-019-1687-0?ref=mainstreem-dotcom/,Nature
220,mazursky2020compact,2020,Not Specified,Not Specified,2.1 Stretch On Skin,Not specified,Not Specified,2.0 Material,None,https://dl.acm.org/doi/10.1145/2207676.2208731,ACM CHI
221,mintchev2019portable,2019,Not Specified,Others,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://doi.org/10.1145/2984511.2984526,ACM UIST
222,yu2019skin,2019,Not Specified,Not Specified,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,2.0 Material,1.0 Spatial Distribution,https://doi.org/10.1145/2984511.2984527,ACM UIST
223,badshah2012gyrotab,2012,3.0 Abstracted,9.2 Passive,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,5.0 Ungrounded,4.0 Exsiting Devices,Others,https://doi.org/10.1145/2984511.2984526,ACM UIST
224,benko2016normaltouch,2016,1.2.2 Shape,3.0 Static Contact,1.1 Partial Proximate Object,1.0 Encountered/free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://doi.org/10.1145/2984511.2984527,ACM UIST
225,benko2016normaltouch,2016,1.2.2 Shape,3.0 Static Contact,1.1 Partial Proximate Object,1.0 Encountered/free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,1.0 Spatial Distribution,https://doi.org/10.1145/2984511.2984526,ACM UIST
226,benko2016normaltouch,2016,1.1.3 Texture,3.0 Static Contact,1.1 Partial Proximate Object,1.0 Encountered/free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,1.0 Spatial Distribution,https://doi.org/10.1145/2984511.2984527,ACM UIST
227,wilson2014perception,2014,3.0 Abstracted,9.2 Passive,2.0 Vibration,1.0 Encountered/free gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,None,https://dl.acm.org/doi/10.1145/2556288.2557033,ACM CHI
228,portolesdiez2021novel,2021,1.1.1 Compliance,1.0 Lateral Motion,2.0 Vibration,2.0 Grasped/ fixed gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,None,https://ieeexplore.ieee.org/document/9381693,IEEE Transactions on Haptics
229,portolesdiez2021novel,2021,1.1.1 Compliance,1.0 Lateral Motion,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,None,https://ieeexplore.ieee.org/document/9381693,IEEE Transactions on Haptics
230,portolesdiez2021novel,2021,1.1.2 Curvature,1.0 Lateral Motion,2.1 Stretch On Skin,2.0 Grasped/ fixed gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,None,https://ieeexplore.ieee.org/document/9381693,IEEE Transactions on Haptics
231,portolesdiez2021novel,2021,1.1.2 Curvature,1.0 Lateral Motion,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,None,https://ieeexplore.ieee.org/document/9381693,IEEE Transactions on Haptics
232,wang2020position,2020,1.1.1 Compliance,2.0 Pressure,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism,https://ieeexplore.ieee.org/abstract/document/9293394,IEEE Transactions on Haptics
233,macgavin2021protactile,2021,3.0 Abstracted,9.2 Passive,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,1.0 Spatial Distribution,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9417720,IEEE Transactions on Haptics
234,macgavin2021protactile,2021,3.0 Abstracted,9.2 Passive,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,1.0 Spatial Distribution,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9417720,IEEE Transactions on Haptics
235,shabani2021haptic,2021,3.0 Abstracted,9.2 Passive,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,None,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9423549,IEEE Transactions on Haptics
236,daunizeau2021phononic,2021,1.1.3 Texture,1.0 Lateral Motion,2.0 Vibration,1.0 Encountered/free gesture,5.0 Ungrounded,2.0 Material,None,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9400743,IEEE Transactions on Haptics
237,abe2021remote,2021,1.1.3 Texture,1.0 Lateral Motion,2.0 Vibration,1.0 Encountered/free gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,None,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9416825,IEEE Transactions on Haptics
238,bhatia2021soma,2021,3.0 Abstracted,9.2 Passive,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,None,https://dl.acm.org/doi/abs/10.1145/3411764.3445123,ACM CHI
239,bhatia2021soma,2021,3.0 Abstracted,9.2 Passive,2.1 Stretch On Skin,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,None,https://dl.acm.org/doi/abs/10.1145/3411764.3445123,ACM CHI
240,kawazoe2021tactile,2021,3.0 Abstracted,Others,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,None,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9442315,IEEE Transactions on Haptics
241,feick2021visuo,2021,1.5 Force/Motion,7.0 Part Motion Test,1.0 Whole Proximate Object,1.0 Encountered/free gesture,Not Specified,1.0 Off-The-Shelf Components,None,https://dl.acm.org/doi/abs/10.1145/3411764.3445456,ACM CHI
242,hachisu2014vacuumtouch,2014,3.0 Abstracted,3.0 Static Contact,2.1 Stretch On Skin,1.0 Encountered/free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://dl.acm.org/doi/10.1145/2556288.2557252,ACM CHI
243,doucette2013effects,2013,3.0 Abstracted,9.2 Passive,2.0 Vibration,3.0 Worn/ free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://dl.acm.org/doi/10.1145/2470654.2466250,ACM CHI
244,hoggan2012pressages,2012,3.0 Abstracted,9.2 Passive,2.0 Vibration,1.0 Encountered/free gesture,5.0 Ungrounded,4.0 Exsiting Devices,None,https://dl.acm.org/doi/10.1145/2380116.2380185,ACM CHI
245,tam2013design,2013,3.0 Abstracted,9.2 Passive,2.0 Vibration,3.0 Worn/ free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://dl.acm.org/doi/10.1145/2470654.2466223,ACM CHI
246,park2013roles,2013,3.0 Abstracted,9.2 Passive,1.1 Partial Proximate Object,1.0 Encountered/free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://dl.acm.org/doi/10.1145/2470654.2466222,ACM CHI
247,monnai2014haptomime,2014,3.0 Abstracted,9.2 Passive,2.1 Stretch On Skin,1.0 Encountered/free gesture,1.0 Grounded-Off-Body,1.0 Off-The-Shelf Components,None,https://dl.acm.org/doi/10.1145/2642918.2647407,ACM CHI
248,nakagawa2012mimictile,2012,3.0 Abstracted,Others,1.0 Whole Proximate Object,1.0 Encountered/free gesture,5.0 Ungrounded,2.0 Material,Others,https://dl.acm.org/doi/10.1145/2207676.2207782,ACM CHI
249,lee2012funneling,2012,3.0 Abstracted,9.2 Passive,2.0 Vibration,1.0 Encountered/free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,Others,https://dl.acm.org/doi/10.1145/2207676.2208729,ACM CHI
250,prasad2014haptimoto,2014,3.0 Abstracted,9.2 Passive,2.0 Vibration,3.0 Worn/ free gesture,3.0 Grounded-On-Same-Body-Part,1.0 Off-The-Shelf Components,1.0 Spatial Distribution,https://dl.acm.org/doi/10.1145/2556288.2557404,ACM CHI
251,mullenbach2014exploring,2014,1.1.3 Texture,1.0 Lateral Motion,2.0 Vibration,1.0 Encountered/free gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,1.0 Spatial Distribution,https://dl.acm.org/doi/10.1145/2556288.2557343,ACM CHI
252,heo2019pseudobend,2019,1.4  Mechanical Mechanisms,7.0 Part Motion Test,2.0 Vibration,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None,https://dl.acm.org/doi/10.1145/3332165.3347941,ACM UIST
